,GameType,GameID,Date,PlayerID,Player,Position,Team,Opponent,Venue,Starter,MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO,BL,PTS,Usage,Rest,bonus,PlayerFP,GameFP/36,TeamFP,Status,GP,TOTfp,TOTmin,FPperMIN,expFP,delta,MPG,teamperc,percavg,rollingMin
0,NBA 2020-2021 Regular Season,22000001,2020-12-22,203952,Andrew Wiggins,F,Golden State,Brooklyn,R,1,31.23,4,16,2,6,3,4,0,2,2,1,4,0,4,1,13,26.31,3+,0.0,18.0,20.7,221.25,1.0,30,922.25,966.34,0.95,29.7,-11.7,32.2,0.08135593220338982,,
1,NBA 2020-2021 Regular Season,22000001,2020-12-22,1629672,Eric Paschall,F,Golden State,Brooklyn,R,1,21.55,2,6,1,1,1,2,1,0,1,0,1,0,0,1,6,12.05,3+,0.0,9.75,16.3,221.25,0.11,27,446.0,473.0500000000002,0.94,20.3,-10.55,17.5,0.04406779661016949,,
2,NBA 2020-2021 Regular Season,22000001,2020-12-22,1630164,James Wiseman,C,Golden State,Brooklyn,R,1,24.28,7,13,1,1,4,8,1,5,6,0,2,2,1,0,19,27.25,3+,0.0,30.5,45.2,221.25,0.8,20,473.25,418.59999999999997,1.13,27.4,3.1000000000000014,20.9,0.13785310734463277,,
3,NBA 2020-2021 Regular Season,22000001,2020-12-22,1626162,Kelly Oubre Jr.,F-G,Golden State,Brooklyn,R,1,25.65,3,14,0,6,0,0,4,3,7,2,1,1,3,2,6,25.02,3+,0.0,22.25,31.2,221.25,1.0,30,856.0,889.4200000000001,0.96,24.6,-2.3500000000000014,29.6,0.10056497175141244,,
4,NBA 2020-2021 Regular Season,22000001,2020-12-22,201939,Stephen Curry,G,Golden State,Brooklyn,R,1,30.32,7,21,2,10,4,4,3,1,4,10,1,2,3,0,20,32.08,3+,4.5,48.0,57.0,221.25,1.0,30,1504.5,1023.5600000000001,1.47,44.6,3.3999999999999986,34.1,0.21694915254237288,,
5,NBA 2020-2021 Regular Season,22000001,2020-12-22,1626172,Kevon Looney,F,Golden State,Brooklyn,R,0,11.28,2,4,0,0,0,1,0,2,2,0,3,0,2,0,4,21.56,3+,0.0,5.5,17.6,221.25,0.24,21,261.75,307.47999999999996,0.85,9.6,-4.1,14.6,0.024858757062146894,,
6,NBA 2020-2021 Regular Season,22000001,2020-12-22,203145,Kent Bazemore,G-F,Golden State,Brooklyn,R,0,11.58,1,2,0,1,0,0,0,2,2,2,3,1,2,0,2,13.04,3+,0.0,8.5,26.4,221.25,0.04,28,446.75,461.57000000000005,0.97,11.2,-2.6999999999999993,16.5,0.0384180790960452,,
7,NBA 2020-2021 Regular Season,22000001,2020-12-22,1627814,Damion Lee,G-F,Golden State,Brooklyn,R,0,12.23,1,2,1,1,0,0,1,6,7,2,0,0,0,0,3,6.17,3+,0.0,15.25,44.9,221.25,0.03,30,441.5,581.4200000000001,0.76,9.3,5.949999999999999,19.4,0.06892655367231638,,
8,NBA 2020-2021 Regular Season,22000001,2020-12-22,1627737,Marquese Chriss,F,Golden State,Brooklyn,R,0,12.43,4,10,1,3,0,0,3,5,8,1,2,0,0,0,9,30.38,3+,0.0,21.0,60.8,221.25,0.0,2,35.75,26.71,1.34,16.7,4.300000000000001,13.4,0.09491525423728814,,
9,NBA 2020-2021 Regular Season,22000001,2020-12-22,1629673,Jordan Poole,G,Golden State,Brooklyn,R,0,17.92,1,4,0,1,0,0,0,2,2,3,2,0,2,0,2,12.64,3+,0.0,8.0,16.1,221.25,0.0,15,137.5,143.45,0.96,17.2,-9.2,9.6,0.03615819209039548,,
