Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,Own,FC Proj,My Proj,Exp.,Used,Con.,Value
Luguentz Dort,SG/SF,OKC,vs HOU,30th,109.25,4200,7.1,39.5,21.6,1.2,0.74,26.59,9.61,9.23,8.28,18.3,9.9,29.2,31.00,37.6%,20.99,20.99,100,,57,5
Cody Zeller,C,CHA,@ MIA,2nd,105.50,5300,16.4,50.6,23.8,2.4,1.09,39.24,7.25,9.78,5.89,17.8,7.1,21.9,29.25,27.6%,31.05,31.05,100,,59,5.9
Hassan Whiteside,C,SAC,@ NOP,14th,115.50,3600,12.2,41.4,16.6,0.5,1.16,41.89,16.10,8.35,7.71,22.1,5.2,14.3,17.25,25.4%,24.68,24.68,100,,50,6.9
Darius Bazley,SF/PF,OKC,vs HOU,28th,109.25,5100,11.2,44,24.7,1.6,0.83,30.02,10.06,9.35,8.52,18.9,10.3,29.7,30.50,22.6%,25.26,25.26,100,,62,5
Shai Gilgeous-Alexander,PG,OKC,vs HOU,30th,109.25,8100,19.4,57.4,41.0,6.4,1.23,44.22,8.78,10.86,8.17,27.2,14.9,33.4,33.50,20.9%,35.69,35.69,100,,74,4.4
Andre Drummond,C,CLE,vs MIN,4th,111.50,8600,20.7,72.1,47.1,2.7,1.57,56.46,11.82,14.69,9.28,31.5,16.0,30.0,28.25,20.9%,42.71,42.71,100,,69,5
Tyrese Haliburton,PG/SG,SAC,@ NOP,26th,115.50,5200,16.8,49.4,27.3,5.4,0.95,34.31,9.35,9.29,7.92,16.1,8.8,28.6,30.50,19.7%,30.78,30.78,100,,66,5.9
D'Angelo Russell,PG/SG,MIN,@ CLE,12th,106.50,7000,19.9,64.2,34.7,5.4,1.14,41.13,11.35,12.63,10.33,30.2,17.0,30.4,32.75,19.1%,38.89,38.89,100,,64,5.6
Dejounte Murray,PG,SAS,vs MEM,7th,112.25,6600,19.7,59.8,35.1,5.3,1.14,40.92,12.14,11.45,10.88,21.6,13.6,30.9,32.25,19%,36.89,36.89,100,,67,5.6
John Wall,PG,HOU,@ OKC,3rd,114.25,6900,21.3,55.8,34.6,5.8,1.13,40.50,8.89,9.85,7.41,27.5,15.0,30.7,30.00,18.5%,36.05,36.05,100,,72,5.2
