,Player,Team,Opp,Salary,Own,Proj Mins,My Proj,MPG,adjPTS/36,A/36,TOT/36,ST/36,3PA/36,TO/36,BL/36,3P%TOTAL,adjFP/36,Variance/36,PTSadj,Aadj,TOTadj,STadj,BLadj,3PAadj,FPadj,TOadj,BaseRateProj,OppAdjProj,ProjSTDV,matchupPTS/36,matchupA/36,matchupTOT/36,matchupST/36,matchupBL/36,matchupTO/36,matchup3P/36,matchupFP/36,matchupProj,Randomness,MinDelta,bust,boom
0,Luguentz Dort,OKC,HOU,4200,31.9,31.0,21.4,29.1,14.5,1.5,4.1,1.0,7.2,1.5,0.4,0.34,25.1,50.4,0.98,0.89,1.06,1.07,1.22,0.94,1.0,1.06,21.6,21.6,6.6,14.209999999999999,1.335,4.346,1.07,0.488,1.59,2.4480000000000004,25.1,21.6,122.0,1.9,0.1,0.13
1,Monte Morris,DEN,DET,3800,26.1,29.25,25.4,26.2,14.2,4.7,3.0,1.1,4.6,0.8,0.4,0.368,28.4,64.0,1.0,1.01,1.01,0.94,1.22,0.96,1.01,1.1,23.1,23.3,7.2,14.2,4.747,3.0300000000000002,1.034,0.488,0.8800000000000001,1.6927999999999999,28.7,23.3,124.0,3.1,0.04,0.3
2,Cody Zeller,CHA,MIA,5300,22.5,29.25,31.5,21.8,14.7,4.0,13.0,1.2,1.9,0.9,0.9,0.217,40.9,90.2,1.0,1.03,0.99,1.27,0.78,1.18,1.02,1.03,33.2,33.9,8.6,14.7,4.12,12.87,1.524,0.7020000000000001,0.927,0.4123,40.5,32.9,101.0,7.4,0.05,0.43
3,Lonzo Ball,NOP,SAC,5500,21.8,32.0,28.2,30.6,15.0,5.6,4.5,1.6,8.8,2.7,0.7,0.363,33.9,75.7,1.08,1.07,0.99,1.05,1.04,1.01,1.06,0.92,30.1,31.9,8.2,16.200000000000003,5.992,4.455,1.6800000000000002,0.728,2.4840000000000004,3.1944000000000004,35.7,31.7,103.0,1.4,0.07,0.32
4,Will Barton,DEN,DET,4800,21.3,33.25,23.4,28.5,14.5,3.9,5.0,1.0,5.0,1.6,0.7,0.379,30.1,65.6,1.0,1.01,1.01,0.94,1.22,0.96,1.01,1.1,27.8,28.1,7.8,14.5,3.939,5.05,0.94,0.854,1.7600000000000002,1.895,30.6,28.3,111.0,4.8,0.06,0.32
5,Tyrese Haliburton,SAC,NOP,5200,20.7,30.5,28.1,28.6,13.8,6.8,4.2,1.4,6.2,2.1,0.9,0.417,34.1,88.4,1.01,1.11,0.93,1.06,1.04,1.19,1.02,0.94,28.9,29.5,8.7,13.938,7.548,3.9060000000000006,1.484,0.936,1.974,2.5854,35.1,29.7,118.0,1.9,0.09,0.31
6,Shai Gilgeous-Alexander,OKC,HOU,8100,19.8,33.5,40.1,33.6,22.2,6.9,5.9,1.0,4.9,3.0,0.7,0.353,42.7,102.0,0.98,0.89,1.06,1.07,1.22,0.94,1.0,1.06,39.7,39.7,9.7,21.756,6.141,6.2540000000000004,1.07,0.854,3.18,1.7297,41.9,39.0,98.0,-0.1,0.25,0.16
7,John Wall,HOU,OKC,6900,19.7,30.25,36.43,30.7,20.9,6.8,4.6,1.2,5.8,3.4,1.0,0.333,40.5,98.0,1.03,1.01,1.11,1.01,0.8,1.03,1.04,0.87,34.0,35.4,9.1,21.526999999999997,6.867999999999999,5.106,1.212,0.8,2.9579999999999997,1.9314,41.5,34.9,103.0,-0.4,0.18,0.2
8,Hassan Whiteside,SAC,NOP,3600,19.7,17.25,18.8,14.1,20.3,1.3,12.0,0.9,0.2,2.6,2.8,0.5,43.4,123.2,1.01,1.11,0.93,1.06,1.04,1.19,1.02,0.94,20.8,21.2,7.7,20.503,1.4430000000000003,11.16,0.9540000000000001,2.912,2.444,0.1,43.0,20.6,145.0,3.2,0.08,0.24
9,Giannis Antetokounmpo,MIL,POR,11000,19.0,35.0,57.7,33.4,30.1,6.2,12.3,1.1,4.9,4.3,1.2,0.299,58.0,136.9,1.04,1.04,1.05,0.81,0.98,1.07,1.03,0.95,56.4,58.1,11.5,31.304000000000002,6.448,12.915000000000001,0.8910000000000001,1.176,4.085,1.4651,60.3,58.6,79.0,1.6,0.16,0.35
