,Player,Team_x,Opp,TeamVegas,Salary,Proj Mins,Own,FC Proj,My Proj,MPG,MinDelta,TeamPace,OppPace,Pace,VegasPts,ClosingSpread,Opponent,Oppper48,TeamFPavg,predTeamFP,matchupProj,ProjSTDV,boom,bust,TeammatchupProj,scaledproj
0,Damian Lillard,Portland,Washington,123.0,10600,36.5,22.8,51.52,51.52,35.9,0.6000000000000014,99.1,103.9,102.65692921236291,119.0,4.0,Washington,239.5,230.48214285714286,234.4,51.31538032315516,12.5,0.12,0.55,211.83800797920938,56.8
1,Enes Kanter,Portland,Washington,123.0,6900,30.0,27.2,39.02,39.02,25.1,4.899999999999999,99.1,103.9,102.65692921236291,119.0,4.0,Washington,239.5,230.48214285714286,234.4,35.644428064039495,11.1,0.25,0.46,211.83800797920938,39.4
2,Robert Covington,Portland,Washington,123.0,6200,35.0,8.1,35.2,35.2,31.4,3.6000000000000014,99.1,103.9,102.65692921236291,119.0,4.0,Washington,239.5,230.48214285714286,234.4,25.298609749928392,4.4,0.0,0.9,211.83800797920938,28.0
3,Gary Trent Jr.,Portland,Washington,123.0,6000,35.75,16.5,27.94,27.94,30.2,5.550000000000001,99.1,103.9,102.65692921236291,119.0,4.0,Washington,239.5,230.48214285714286,234.4,26.713150891709912,13.0,0.2,0.6,211.83800797920938,29.6
4,Carmelo Anthony,Portland,Washington,123.0,5100,25.75,14.8,24.18,24.18,25.3,0.4499999999999993,99.1,103.9,102.65692921236291,119.0,4.0,Washington,239.5,230.48214285714286,234.4,22.877109988660063,7.0,0.1,0.65,211.83800797920938,25.3
5,Derrick Jones Jr.,Portland,Washington,123.0,4400,29.25,9.2,25.51,25.51,27.1,2.1499999999999986,99.1,103.9,102.65692921236291,119.0,4.0,Washington,239.5,230.48214285714286,234.4,19.118945740672498,6.2,0.09,0.68,211.83800797920938,21.2
6,Anfernee Simons,Portland,Washington,123.0,3900,21.25,18.3,16.45,16.45,17.9,3.3500000000000014,99.1,103.9,102.65692921236291,119.0,4.0,Washington,239.5,230.48214285714286,234.4,17.09464382206514,9.3,0.17,0.6,211.83800797920938,18.9
7,Rodney Hood,Portland,Washington,123.0,3100,18.25,3.1,12.68,12.68,18.9,-0.6499999999999986,99.1,103.9,102.65692921236291,119.0,4.0,Washington,239.5,230.48214285714286,234.4,8.972203908147648,5.4,0.0,0.89,211.83800797920938,9.9
8,CJ Elleby,Portland,Washington,123.0,3000,0.75,0.1,0.52,0.52,8.0,-7.25,99.1,103.9,102.65692921236291,119.0,4.0,Washington,239.5,230.48214285714286,234.4,-0.0445305318852336,5.4,0.0,1.0,211.83800797920938,-0.0
9,Nassir Little,Portland,Washington,123.0,3000,8.5,0.1,6.69,6.69,10.9,-2.4000000000000004,99.1,103.9,102.65692921236291,119.0,4.0,Washington,239.5,230.48214285714286,234.4,4.848066022716321,5.3,0.0,0.97,211.83800797920938,5.4
10,LeBron James,LA Lakers,Miami,106.0,10200,36.25,32.6,54.29,54.29,34.6,1.6499999999999986,99.1,98.5,97.32153539381854,103.0,3.0,Miami,229.1,232.45833333333334,224.2,53.37395558445113,10.4,0.16,0.41,207.8825197688389,57.6
11,Kyle Kuzma,LA Lakers,Miami,106.0,6700,31.0,1.8,26.33,26.33,25.3,5.699999999999999,99.1,98.5,97.32153539381854,103.0,3.0,Miami,229.1,232.45833333333334,224.2,27.96977382158983,8.8,0.06,0.73,207.8825197688389,30.2
12,Montrezl Harrell,LA Lakers,Miami,106.0,5600,24.5,5.7,27.91,27.91,24.3,0.1999999999999993,99.1,98.5,97.32153539381854,103.0,3.0,Miami,229.1,232.45833333333334,224.2,24.58841775455093,7.9,0.09,0.67,207.8825197688389,26.5
13,Marc Gasol,LA Lakers,Miami,106.0,4000,23.0,1.2,20.11,20.11,20.0,3.0,99.1,98.5,97.32153539381854,103.0,3.0,Miami,229.1,232.45833333333334,224.2,17.540096628840192,10.4,0.21,0.59,207.8825197688389,18.9
